mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Marasmius siccus,unknown,ORANGE PINWHEEL,,"summer, fall","Marasmius borealis, Marasmius bellipes, Marasmius pulcherripes, Marasmius fulvoferrugineus ","Marasmius siccus, or orange pinwheel, is a small orange mushroom with a ""beach umbrella"" cap and a light to dark stem. It is in the Marasmius genus. It is found in hardwood forests from the Rocky Mountains to the Appalachian Mountains. The gills are white. It is 3–7 centimetres (1.2–2.8 in) tall and 0.5–2.5 centimetres (0.20–0.98 in) wide."
Melanoleuca alboflauida,yes,YELLOWISH CAVALIER,,"summer, fall",Melanoleuca euenosa,
Melanoleuca melaleuca,yes,COMMON CAVALIER ,,"spring, summer, fall",,"Melanoleuca melaleuca is a species of mushroom in the Tricholomataceae family, and it is the type species of its genus Melanoleuca. It is difficult to distinguish from other related species firstly because it is variable, secondly because the taxonomic criteria are often based on characteristics which have later been found to be variable, and thirdly because there is much disagreement between authorities as to exactly how the species should be defined."
Micromphale foetidum,unknown,STINKING PINWHEEL,,"summer, fall",,
Mycena alcalina,unknown,STUMP FAIRY HELMET,,"spring, fall",Mycena leptocephala,"Mycena alcalina, commonly known as the stump fairy helmet mushroom, is a species of fungus in the Mycenaceae family. It grows widely, ranging from North America to Europe."
Mycena epipterygia,unknown,YELLOWSTALK FAIRY HELMET,,"summer, fall","Mycena epipterygioides, Mycena griseoviridis, Mycena viscosa",Mycena epipterygia is a species of fungi in the Mycenaceae family of mushrooms commonly found in Europe. The species is saprotrophic and its appearance is quite variable. Some parts of the fungus are bioluminescent.
Mycena galericulata,no*,ROSY-GILL FAIRY HELMET,,"spring, fall","Mycena inclinata, Mycena maculata, Mycena parabolica","Mycena galericulata is a mushroom species commonly known as the common bonnet, the toque mycena, or the rosy-gill fairy helmet. The type species of the genus Mycena was first described scientifically in 1772, but was not considered a Mycena until 1821. It is quite variable in color, size, and shape, which makes it somewhat difficult to reliably identify in the field. The mushrooms have caps with distinct radial grooves, particularly at the margin. The cap's color varies from grayish brown to dark brown and the shape ranges from bell-like to bluntly conical to flattened with an umbo. The stem is hollow, white, tough and thin, without a ring and often roots deeply into the wood on which it grows. The gills are white to grayish or even pinkish when mature and are connected by distinct cross-veins. The caps can reach 4 cm (1.6 in) in diameter, and have a mealy odor and taste. The spore print is white and the gills are pink at maturity, which can lead to possible confusion with species of the Pluteus genus. M. galericulata mushrooms grow mostly in clusters on the well-decayed stumps of deciduous and coniferous trees from spring to autumn. The species can generally be considered inedible. It is common and widespread in the entire temperate zone of the Northern Hemisphere, but it has also been reported from Africa."
Mycena haematopus,yes,BLEEDING FAIRY HELMET,,"spring, fall",,"Mycena haematopus, commonly known as the bleeding fairy helmet, the burgundydrop bonnet, or the bleeding Mycena, is a species of fungus in the Mycenaceae family, of the order Agaricales. It is widespread and common in Europe and North America, and has also been collected in Japan and Venezuela. It is saprotrophic—meaning that it obtains nutrients by consuming decomposing organic matter—and the fruit bodies appear in small groups or clusters on the decaying logs, trunks, and stumps of deciduous trees, particularly beech. The fungus, first described scientifically in 1799, is classified in the section Lactipedes of the genus Mycena, along with other species that produce a milky or colored latex.
The fruit bodies of M. haematopus have caps that are up to 4 cm (1.6 in) wide, whitish gills, and a thin, fragile reddish-brown stem with thick coarse hairs at the base. They are characterized by their reddish color, the scalloped cap edges, and the dark red latex they ""bleed"" when cut or broken. Both the fruit bodies and the mycelia are weakly bioluminescent. M. haematopus produces various alkaloid pigments unique to this species. The edibility of the fruit bodies is not known definitively."
Mycena leaiana,unknown,GOLDEN FAIRY HELMET,,"spring, fall",Mycena texensis,"Mycena leaiana, commonly known as the orange mycena or Lea's mycena, is a species of saprobic fungi in the genus Mycena, family Mycenaceae. Characterized by their bright orange caps and stalks and reddish-orange gill edges, they usually grow in dense clusters on deciduous logs. The pigment responsible for the orange color in this species has antibiotic properties. A variety of the species, Mycena leaiana var. australis, can be found in Australia and New Zealand."
Mycena lilacifolia,unknown,LILAC-GILL FAIRY HELMET,,"spring, summer, fall",,
Mycena overholtsii,unknown,SNOWBANK FAIRY HELMET,,spring,,"Mycena overholtsii, commonly known as the snowbank fairy helmet or fuzzy foot, is a species of fungus in the family Mycenaceae. The mushrooms produced by the fungus are relatively large for the genus Mycena, with convex grayish caps up to 5 cm (2.0 in) in diameter and stems up to 15 cm (5.9 in) long. The gills on the underside of the cap are whitish to pale gray, and initially closely spaced before becoming well-spaced at maturity after the cap enlarges. The mushrooms are characterized by the dense covering of white ""hairs"" on the base of the stem. M. overholtsii is an example of a snowbank fungus, growing on well-decayed conifer logs near snowbanks, during or just after snowmelt. Formerly known only from high-elevation areas of western North America, particularly the Rocky Mountain and Cascade regions, it was reported for the first time in Japan in 2010. The edibility of the mushroom is unknown. M. overholtsii can be distinguished from other comparable species by differences in location, or spore size."
Mycena pura,no,LILAC FAIRY HELMET,,"summer, fall","Laccaria amethystina, Laccaria Zaccata","Mycena pura, commonly known as the lilac bonnet, is a species of mushroom in the family Mycenaceae. First called Agaricus prunus in 1794 by Christian Hendrik Persoon, it was assigned its current name in 1871 by German Paul Kummer. Mycena pura is known to bioaccumulate the element boron."
Mycena strobilinoides,unknown,SCARLET FAIRY HELMET,,"summer, fall","Mycena rosella, Mycena monticola","Mycena strobilinoides, commonly known as the scarlet fairy helmet, is a species of agaric fungus in the family Mycenaceae. It is found in North America, where it fruits scattered or in dense groups on needle beds and moss. The mushroom is more common in western than eastern North America, and it prefers to grow at elevations greater than 2,500 feet (760 m) in montane locales. It has amyloid, ellipsoid spores measuring 7–9 by 4–5 μm."
Omphalina chrysophylla,unknown,GOLDGILL NAVELCAP,,"spring, summer, fall",,
Omphalina postii,unknown,TINY NAVELCAP,,"spring, summer, fall",,
Omphalotus illudens,no,JACK-O-LANTERN,,"summer, fall","Omphalotus olearius, Omphalotus olivascens, Cantharellus cibarius","Omphalotus illudens is commonly called the jack-o'lantern mushroom. It is a large orange mushroom that is often found in clumps on decaying stumps, buried roots or at the base of hardwood trees in eastern North America. Its gills often exhibit a weak green bioluminescence when fresh.
Omphalotus illudens is sometimes confused with edible chanterelles, but is poisonous to humans when eaten, whether raw or cooked, and typically causes vomiting, cramps, and diarrhea. Although some older literature claims the name is synonymous with Omphalotus olearius, phylogenetic analysis confirms they are distinct species."
Omphalotus olearius,no,JACK-O-LANTERN,,"summer, fall","Omphalotus illudens, Omphalotus olivascens, Cantharellus cibarius","Omphalotus olearius, commonly known as the jack-o'-lantern mushroom, is a poisonous orange gilled mushroom that to an untrained eye appears similar to some chanterelles. It is notable for its bioluminescent properties. It is found in woodland areas in Europe, where it grows on decaying stumps, on buried roots or at the base of hardwood trees. A similar, but phylogenetically distinct species found in eastern North America is Omphalotus illudens.
Unlike chanterelles, Omphalotus olearius and other Omphalotus species contain the toxin illudin S, and are poisonous to humans. While not lethal, consuming this mushroom leads to very severe cramps, vomiting, and diarrhea."
Oudemansiella radicata,yes,DEEP ROOT,,"spring, summer, fall",Oudemansiella longipes,"Xerula radicata, commonly known as the deep root mushroom or the rooting shank, is a widespread Agaric readily identified by its deeply rooted stalk (stipe). It is synonymous with Oudemansiella radicata."
Panellus serotinus,yes*,LATE OYSTER,,fall,,"Panellus serotinus, commonly known as the late oyster, is a species of fungus in the family Mycenaceae. Fruit bodies grow as overlapping fan- or oyster-shaped caps on the wood of both coniferous and deciduous trees. The gills on the underside are closely spaced, bright orange yellow, and have an adnate attachment to the stipe. It produces a yellow spore print; spores are smooth, amyloid, and measure 4–6 by 1–2 µm. The caps are edible, but some people report the taste to be bitter—a factor that may depend on the host tree on which it is found. In Japan, where it is called Mukitake, it is considered ""one of the most delicious edible mushrooms"", and a system has recently been developed to cultivate the mushroom in plastic greenhouses.

"
Panellus stipticus,no,BITTER OYSTER,,fall,,"Panellus stipticus, commonly known as the bitter oyster, the astringent panus, the luminescent panellus, or the stiptic fungus, is a species of fungus in the family Mycenaceae, and the type species of the genus Panellus. A common and widely distributed species, it is found in Asia, Australia, Europe, and North America, where it grows in groups or dense overlapping clusters on the logs, stumps, and trunks of deciduous trees, especially beech, oak, and birch. During the development of the fruit bodies, the mushrooms start out as tiny white knobs, which, over a period of one to three months, develop into fan- or kidney-shaped caps that measure up to 3 cm (1.2 in) broad. The caps are orange-yellow to brownish, and attached to the decaying wood by short stubby stalks that are connected off-center or on the side of the caps. The fungus was given its current scientific name in 1879, but has been known by many names since French mycologist Jean Bulliard first described it as Agaricus stypticus in 1783. Molecular phylogenetic analysis revealed P. stipticus to have a close genetic relationship with members of the genus Mycena.
Panellus stipticus is one of several dozen species of fungi that are bioluminescent. Strains from eastern North America are typically bioluminescent, but those from the Pacific coast regions of North America and from other continents are not. The luminescence is localized to the edges of the gills and the junction of the gills with the stem and cap. Bioluminescence is also observable with mycelia grown in laboratory culture, and the growth conditions for optimal light production have been studied in detail. Several chemicals have been isolated and characterized that are believed to be responsible for light production. Genetic analysis has shown that luminescence is controlled by a single dominant allele. The luminescent glow of this and other fungi inspired the term foxfire, coined by early settlers in eastern and southern North America. Modern research has probed the potential of P. stipticus as a tool in bioremediation, because of its ability to detoxify various environmental pollutants.

"
Phyllotopsis nidulans,unknown,NESTCAP,,"summer, fall, winter",Phyllotopsis subnidulans,"Phyllotopsis nidulans, commonly known as the mock oyster or the orange oyster, is a species of fungus in the family Tricholomataceae, and the type species of the genus Phyllotopsis. It is widely dispersed in temperate zones of the Northern Hemisphere, where it grows on decaying wood. The fungus fruit body consists of a fan-shaped, light orange fuzzy cap up to 8 cm (3 in) wide that grows singly or in overlapping clusters. On the cap underside are crowded orange gills. Mock oyster mushrooms have a strong, unpleasant odor, although they are not known to be poisonous."
Rhodotus palmatus,unknown,ROSY VEINCAP ,,"summer, fall",,"Rhodotus is a genus in the fungus family Physalacriaceae. It is a monotypic genus and consists of the single mushroom species Rhodotus palmatus, known in the vernacular as the netted rhodotus, the rosy veincap, or the wrinkled peach. This uncommon species has a circumboreal distribution, and has been collected in eastern North America, northern Africa, Europe, and Asia; declining populations in Europe have led to its appearance in over half of the European fungal Red Lists of threatened species. Typically found growing on the stumps and logs of rotting hardwoods, mature specimens may usually be identified by the pinkish color and the distinctive ridged and veined surface of their rubbery caps; variations in the color and quantity of light received during development lead to variations in the size, shape, and cap color of fruit bodies.
The unique characteristics of R. palmatus have made it difficult for taxonomists to agree on how it should be classified, resulting in an elaborate taxonomical history and an extensive synonymy. First named Agaricus palmatus by Bulliard in 1785, it was reclassified into several different genera before becoming Rhodotus in 1926. The familial placement of the genus Rhodotus within the order Agaricales has also been subject to dispute, and the taxon has been transferred variously to the families Amanitaceae, Entolomataceae, and Tricholomataceae. More recently, molecular phylogenetics analysis has helped determine that Rhodotus is most closely related to genera in the Physalacriaceae."
Strobilurus conigenoides,unknown,MAGNOLIA COINCAP,,"summer, fall","Strobilurus trullisatus, Baeospora myosura",
Strobilurus occidentalis,unknown,WESTERN COINCAP,,spring,"Strobilurus wyomingensis, Strobilurus lignitilis",
Tricholoma flavobrunneum,no*,BROWNSTAIN CAVALIER,,"summer, fall","Tricholoma populinum, Tricholoma albobrunneum",
Tricholoma aurantium,no*,GOLDEN CAVALIER,,"summer, fall","Tricholoma zelleri, Armillaria zelleri","Tricholoma aurantium, commonly known as the golden orange tricholoma, is a mushroom of the agaric genus Tricholoma. Originally described by Jacob Christian Schäffer in 1774, it was transferred to the genus Tricholoma by Adalbert Ricken in 1915."
Tricholoma equestre,no*,CAVALIER (MAN-ON-HORSEBACK),,"fall, winter","Tricholoma intermedia, Tricholoma sejunctum, Tricholoma sulphureum, Tricholoma leucophyllum","Tricholoma equestre or Tricholoma flavovirens, also known as man on horseback or yellow knight is a formerly widely eaten but hazardous fungus of the genus Tricholoma that forms ectomycorrhiza with pine trees.
Known as Grünling in German, gąska zielonka in Polish, and canari in French, it has been treasured as an edible mushroom worldwide and is especially abundant in France. Although it is regarded as quite tasty, cases of poisoning from eating T. equestre have been reported. Research has revealed it to have poisonous properties.

"
Tricholoma imbricatum,yes,SHINGLE HEAD,,"fall, winter","Tricholoma vaccinum, Tricholoma leucophyllum","Tricholoma imbricatum is a species of agaric fungus in the family Tricholomataceae. Commonly known as the matt knight, it is found in Europe and North America, where it grows on the ground in coniferous forests. Fruit bodies have a brown to reddish-brown cap up to 9 cm (3.5 in) in diameter, and a stipe that is 3.5 to 4.5 cm (1.4 to 1.8 in) long by 1.0 to 1.2 cm (0.39 to 0.47 in) thick. The gills are initially whitish in color before developing reddish-brown spots."
Tricholoma inamoenum,no,IRKSOME CAVALIER ,,"summer, fall",Tricholoma platyphyllum,Tricholoma inamoenum is a mushroom of the agaric genus Tricholoma.
Tricholoma pardinum,no,TIGERTOP,,fall,"Tricholoma myomyces, Tricholoma virgatum, Tricholoma atroviolaceum","Tricholoma pardinum, commonly known as spotted tricholoma, tiger tricholoma, tigertop, leopard knight, or dirty trich, is a gilled mushroom widely distributed across North America and Europe, as well as parts of Asia. It is generally found in beech woodland in summer and autumn. Two subspecies have been described from southern Europe. First officially described by Christiaan Hendrik Persoon in 1801, Tricholoma pardinum has had a confusing taxonomic history that extends over two centuries. In 1762, German naturalist Jacob Christian Schäffer described the species Agaricus tigrinus with an illustration corresponding to what is thought to be T. pardinum, and consequently, the name Tricholoma tigrinum has been used erroneously in some European field guides.
The fruit body of Tricholoma pardinum is an imposing mushroom with a pale grey cap up to 15 cm (6 in) in diameter that is covered with dark brownish to greyish scales. The gills are whitish, and are not attached to the stout white to pale grey-brown stalk. The spore print is white. One of the more toxic members of the genus Tricholoma, the species has been implicated in a number of episodes of mushroom poisoning, probably because it is a large, attractive mushroom with a pleasant smell and taste, and it bears a superficial resemblance to several edible species, like Tricholoma terreum. Ingesting T. pardinum—even in small quantities—results in a severe, persistent gastroenteritis caused by an unknown mycotoxin.

"
Tricholoma portentosum,no*,SOOTY HEAD,,,Tricholoma sejunctum,"Tricholoma portentosum, commonly known as the charbonnier, or sooty head in North America, is a grey-capped edible mushroom of the large genus Tricholoma. It is found in woodlands in Europe and North America."
Tricholoma resplendens,yes*,SHINY CAVALIER ,,"summer, fall","Tricholoma venenata, Russula albidula","Tricholoma resplendens is a fungus of the genus Tricholoma native to Europe and North America. It was originally described as Agaricus resplendens by Elias Magnus Fries in 1857, and was given its current name by Petter Adolf Karsten in 1876."
Tricholoma saponaceum,no*,SOAPY CAVALIER,,"summer, fall",,"Tricholoma saponaceum, also known as the soap-scented toadstool, soapy knight or soap tricholoma is an inedible mushroom found in woodlands in Europe and North America."
Tricholoma sulphureum,no,SULPHUR CAVALIER,,"summer, fall","Tricholoma inamoenum, Tricholoma equestre","Tricholoma sulphureum, also known as sulphur knight or gas agaric, is an inedible or mildly poisonous mushroom found in woodlands in Europe. It has a distinctive bright yellow colour and an unusual smell likened to coal gas. It occurs in deciduous woodlands in Europe from spring to autumn."
Tricholoma vaccinum,no,FUZZTOP,,"summer, fall",Tricholoma imbricatum,"Tricholoma vaccinum, commonly known as the russet scaly tricholoma, the scaly knight, or the fuzztop, is a fungus of the agaric genus Tricholoma. It produces medium-sized fruit bodies (mushrooms) that have a distinctive hairy reddish-brown cap with a shaggy margin when young. The cap, which can reach a diameter of up to 6.5 cm (2.6 in) wide, breaks up into flattened scales in maturity. It has cream-buff to pinkish gills with brown spots. Its fibrous, hollow stipe is white above and reddish brown below, and measures 4 to 7.5 cm (1.6 to 3.0 in) long. Although young fruit bodies have a partial veil, it does not leave a ring on the stipe.
Widely distributed in the Northern Hemisphere, Tricholoma vaccinum is found in northern Asia, Europe and North America. The fungus grows in a mycorrhizal association with spruce or pine trees, and its mushrooms are found on the ground growing in groups or clusters in late summer and autumn. Although some consider the mushroom edible, it is of poor quality and not recommended for consumption. The ectomycorrhizae of T. vaccinum has been the subject of considerable research."
Tricholoma virgatum,no*,SILVER STREAKS,,"summer, fall","Tricholoma pardinum, Tricholoma myomyces","Tricholoma virgatum, commonly known as the ashen knight, is a mushroom of the agaric genus Tricholoma. It was first described scientifically as Agaricus virgatus by Elias Fries in 1818, and later transferred to the genus Tricholoma by Paul Kummer in 1871. It is found in the deciduous and coniferous forests of Europe and North America. The mushroom is inedible, and has a bitter and peppery taste and musty odor.

"
Tricholoma zelleri,no*,ZELLER'S BRACELET,,"summer, fall",Tricholoma aurantium,
Megacollybia platyphylla,yes*,BROADGILL,,"spring, summer",Tricholomopsis fallax,
Tricholomopsis rutilans,no,RED RIDER,,"summer, fall",Tricholomopsis decora,"Tricholomopsis rutilans, known by the unusual but apt common name of Plums and Custard or, less commonly Red-haired agaric, is a species of gilled mushroom found across Europe and North America."
Camarophyllus niveus,no*,SNOWY WAXYCAP,,"summer, winter","Camarophyllus borealis, Camarophyllus virgineus",
Camarophyllus pratensis,yes,BUTTER MEADOWCAP,,"spring, fall",9,"Cuphophyllus pratensis is a species of agaric (gilled mushroom) in the family Hygrophoraceae. It has been given the recommended English name of meadow waxcap in the UK and in North America has variously been called the meadow waxy cap, salmon waxy cap, and butter meadowcap. The species has a widespread, mainly temperate distribution, occurring in grassland in Europe and in woodland elsewhere. The basidiocarps (fruit bodies) are edible and are occasionally collected and sold commercially."
Hygrocybe coccinea,unknown*,SCARLET HOOD,,"summer, fall","Hygrophorus puniceus, Hygrocybe cantharellus","Hygrocybe coccinea, sometimes called the scarlet hood, scarlet waxcap or righteous red waxy cap, is a colourful member of the mushroom genus Hygrocybe. These waxcaps are found across the Northern Hemisphere from China and Japan to Europe and North America. The small bright red mushroom is a familiar sight in unimproved grasslands in Europe in late summer and autumn, and woodlands in North America in winter.

"
Hygrocybe conica,no*,CONIC W AXYCAP,,,"Hygrocybe cuspidata, Hygrocybe acutoconica, Hygrocybe erinaceus","Hygrocybe conica, commonly known as the witch's hat, conical wax cap or conical slimy cap, is a colourful member of the genus Hygrocybe (the waxcaps), found across northern Europe and North America. Originally described as Hygrophorus conicus, it may be a complex of closely related and similar species."
Hygrocybe flavescens,unknown*,YELLOW WAXYCAP,,,"Hygrocybe chlorophana, Hygrocybe marchii",
Hygrocybe laeta,unknown*,PINKGILL W AXYCAP,,"summer, fall",Hygrophorus hondurensis,
Hygrocybe marginata,yes,ORANGE-GILL W AXYCAP,,"spring, summer, fall",Hygrocybe conica,
Hygrocybe miniata,no*,VERMILION WAXYCAP,,"summer, fall",Hygrocybe cantharellus,"Hygrocybe miniata, commonly known as the vermilion waxcap, is a small, bright red or red-orange mushroom of the waxcap genus Hygrocybe. It is a cosmopolitan species, that is found worldwide. In Europe, it is found in fields, on sandy heaths, or grassy commons in the autumn (fall). It is found in rainforest and eucalypt forest as well as heathland in Australia."
Hygrocybe psittacina,yes,PARROT WAXYCAP,,"spring, summer, fall",Hygrocybe laeta,"Gliophorus psittacinus, commonly known as the Parrot Toadstool or Parrot Waxcap, is a colourful member of the genus Gliophorus, found across Northern Europe. It was formerly known as Hygrocybe psittacina, but a molecular phylogenetics study found it to belong in the genus Gliophorus. It had already been placed in Gliophorus, but it had been considered a synonym of Hygrocybe."
Hygrophorus agathosmus,yes,ALMOND WAXYCAP,,"summer, fall, winter","Hygrophorus bakerensis, Hygrophorus fuligineus","Hygrophorus agathosmus, commonly known as the gray almond waxy cap or the almond woodwax, is a species of fungus in the Hygrophoraceae family. It was first described by Elias Magnus Fries in 1815; Fries gave it its current name in 1838. A widespread species, it is distributed in the United States, Europe, Africa, and India, and can be found growing under spruce and pine in mixed forests. The fruit bodies are characterized by a light grayish cap that measures up to 8 cm (3.1 in) in diameter, waxy gills, a dry stem, and the distinct odor of bitter almonds. An edible but bland-tasting mushroom, extracts of the fruit bodies have been shown in laboratory tests to have antimicrobial activity against various bacteria that are pathogenic to humans."
Hygrophorus camarophyllus,no*,GOAT W AXYCAP,,"summer, fall, winter","Hygrophorus calophyllus, Hygrophorus marzuolus, Hygrophorus inocybiformi, Hygrophorus olivaceoalbus",Hygrophorus camarophyllus is a species of fungus in the genus Hygrophorus.
Hygrophorus chrysodon,unknown*,GOLDEN-TOOTH WAXYCAP,,"summer, fall, winter",,Hygrophorus chrysodon is a species of fungus in the genus Hygrophorus.
Hygrophorus discoideus,unknown*,CLAY WAXYCAP,,"fall, winter",Hygrophorus leucophaeus,
Hygrophorus eburneus,no*,IVORY WAXYCAP,,"summer, fall, winter","Camarophyllus virgineus, Hygrophorus chrysodon, Hygropharus chrysapsis","Hygrophorus eburneus, commonly known as the ivory waxy cap or the cowboy's handkerchief, is a species of edible mushroom in the waxgill family of fungi. It is widespread in Europe and North America, and has also been collected in northern Africa. The fruit bodies are medium-sized, pure white, and when wet are covered in a layer of slime thick enough to make the mushroom difficult to pick up. The gills are broadly attached to the stem or running down it; as the family name suggests, they feel waxy when rubbed between the fingers. Like all Hygrophorus species, the fungus is mycorrhizal—a symbiotic association whereby the underground fungal mycelia penetrate and exchange nutrients with tree roots. They are common in a variety of forest types, where they grow on the ground in thickets or grassy areas. Hygrophorus eburneus is the type species of the genus Hygrophorus. A number of biologically active chemicals have been purified from the fruit bodies of the fungus, including fatty acids with bactericidal and fungicidal activity."
Hygrophorus erubescens,unknown,PINK WAXYCAP,,"summer, fall, winter","Hygrophorus russula, Hygrophorus russuliformis, Hygrophorus amarus","Hygrophorus erubescens, commonly known as the blotched woodwax or pink waxcap, is an agaric fungus native to Scandinavia, Japan, Central Europe, Great Britain and North America."
Hygrophorus gliocyclus,unknown,SLIMY WAXYCAP,,"fall, winter",Hygrophorus  flavodiscus,
Hygrophorus hypothejus,yes,WINTER HERALD,,year long,Hygrophorus fuligineus,"Hygrophorus hypothejus, commonly known as herald of the winter, is an edible species of fungus in the genus Hygrophorus native to Europe and North America. It appears in late autumn in coniferous forests, often with the first frosts."
Hygrophorus rnarzuolus,yes**,MARCH MUSHROOM,,spring,"Hygrophorus camarophyllus, Hygrophorus calophyllus, Hygrophorus agathosmus",
Hygrophorus olivaceoalbus,yes,OLIVE-GRAY WAXYCAP,,"summer, fall, winter",,"Hygrophorus olivaceoalbus, commonly known as the olive wax cap, is a species of fungus in the genus Hygrophorus. The fruit bodies (mushrooms) appear from midsummer to late autumn under conifers in North American and Eurasian mountain forests. The mushrooms have olive-brown, slimy caps with dark streaks and a dark umbo; the caps measure 3 to 12 cm (1.2 to 4.7 in) in diameter. Other characteristic features include a slimy stem up to 12 cm (4.7 in) long that is spotted with ragged scales up to a ring-like zone. As its name implies, the mushroom has a waxy cap and gills. It is native to North America and across the northern regions of Europe. According to a publication by the Council of Europe, the fungus is nearly extinct in France.
Although Hygrophorus olivaceoalbus is edible, opinions are divided regarding its taste. Besides its usage as an edible mushroom, the fungus possesses antibiotic-like compounds."
Hygrophorus pudorinus,no*,BLUSHING WAXYCAP ,,"summer, fall",Hygrophorus poetarum,"Hygrophorus pudorinus, commonly known as the blushing waxycap or turpentine waxycap, is a species of fungus in the genus Hygrophorus.
Swedish mycologist Elias Magnus Fries described it as Agaricus pudorinus in his 1821 work Systema Mycologicum. It became Hygrophorus pudorinus with the raising of Hygrophorus to genus rank. The species name is the Latin word pudorinus ""blushing"".
The species is classified in the subsection Pudorini of genus Hygrophorus, along with the closely related species H. erubescens and H. purpurascens.
The fruit body (mushroom) is a fair size, with a 5–12 cm (2–4 3⁄4 in) diameter pink to golden convex cap with a downrolled margin that is lighter in colour. The cap surface is sticky. The pink to yellow-white gills are decurrent. The thick stipe is 4–9 cm (1 5⁄8–3 1⁄2 in) tall and 1–2 cm (3⁄8–3⁄4 in) wide. The spore print is white and the oval spores measure 7–10 × 5–6 micrometres. The thick flesh is pale pink or orange to white. The mushroom does not bruise red and has no distinctive odour, though it can taste like turpentine.
Hygrophorus pudorinus is found in coniferous woodlands under fir and spruce trees across western and northeastern North America; it is particularly common in Canada and the Rocky Mountains. The mushrooms appear in groups or fairy rings in late summer and autumn. They often grow in boggy places in sphagnum moss.
Despite its taste, it is edible after cooking. Its variable appearance makes identification difficult and hence raises risk of misidentification.

"
Hygrophorus russula,yes,FALSE RUSSULA,,,Hygrophorus erubescens,"Hygrophorus russula, commonly known as the pinkmottle woodwax, false russula and russula-like waxy cap, is a fungus native to North America.
German naturalist Jacob Christian Schäffer described the species as Agaricus russula in 1774. The species name is derived from its reddish coloration, reminiscent of members of the genus Russula. French botanist Claude Casimir Gillet placed it in the genus Tricholoma in 1878, before American naturalist Calvin Henry Kauffman gave it its current name in 1918. Though Kauffman thought it resembled the former genus, he held that its waxy gills showed it to be placed to the genus Hygrophorus.
The fruit bodies, or mushrooms, can be abundant some years, especially after rainfall, sometimes appearing in arcs or fairy rings. The cap is hemispherical before flattening out with age, though the cap margin remains inrolled. Reaching 5–12 cm (2–4 3⁄4 in) in diameter, it has a base colour of white or pink with streaks of pink, wine-red or purple. The cap surface is sticky when young. The firm flesh is pink or white and has no strong taste or smell. The crowded gills are decurrent. White when young, they become discoloured with pink and wine-red stains. The stipe is 3–8 cm (1 1⁄4–3 1⁄4 in) high and 1.5–3.5 cm (1⁄2–1 1⁄2 in) wide. The spore print is white, the smooth oval spores measuring 6–8 by 3–5 μm under the microscope.
It can be distinguished from russulas by its non-brittle stipe. The edible but poor Hygrophorus purpurascens is similar but has a veil and grows under conifers.
In eastern North America, it appears under oak from August to October. It is more common in the east of the continent than the west.
It is regarded as edible."
Hygrophorus sordidus,no*,HARDWOOD WAXYCAP,,"summer, fall",Hygrophorus ponderatus,
Hygrophorus speciosus,unknown,LARCH WAXYCAP,,"summer, fall",,Hygrophorus speciosus is a species of fungus in the genus Hygrophorus.
Hygrophorus subalpinus,yes,SUBALPINE WAXYCAP,,"spring, summer","Hygrophorus ponderatus, Armillaria arenicola","Hygrophorus subalpinus, commonly known as the subalpine waxycap, is a species of fungus in the family Hygrophoraceae. Found in the mountains of western North America, it is found growing on the ground under conifers, usually near snowbanks."
Hygrophorus tennesseensis,no*,TENNESSEE WAXYCAP,,,"Hygrophorus bakerensis, Hygrophorus pudorinus",
Hygrophorus tephroleucus,unknown,SPOTTED-STALK WAXYCAP,,"fall, winter",Hygrophorus pustulatus,
Disciotis venosa,yes*,CUP MOREL,,,"Discina perlata,  Discina ancilis","Disciotis venosa, commonly known as the bleach cup, veiny cup fungus, or the cup morel is a species of fungus in the family Morchellaceae. Fruiting in April and May, they are often difficult to locate because of their nondescript brown color. Found in North America and Europe, they appear to favor banks and slopes and sheltered sites. Although D. venosa is considered edible, it may resemble several other species of brown cup fungi of unknown edibility."
Limacella glischra,no*,SLIME MUSHROOM,,,,Limacella glischra is a mushroom species in the family Amanitaceae. It was first named as a species of Lepiota by Andrew Price Morgan in 1906; William Alphonso Murrill transferred it to Limacella in 1914.
Limacella illinita,unknown,WHITE SLIME MUSHROOM,,"summer, fall",,"Limacella illinita, or Overflowing Slimy Stem, is a mushroom in the genus Limacella, in the family Amanitaceae."
Amanita franchetii,no*,WARTY DEATHCAP ,,fall,Amanita pantherina,"Amanita franchetii is a species of fungus in the Amanitaceae family. It was given its current name by Swiss mycologist Victor Fayod in 1889 in honor of French botanist Adrien René Franchet. A. franchetii occurs in Europe and North Africa with oaks (Quercus ssp.), chestnuts (Castanea ssp.), and pines (Pinus ssp.).

A similar fungus in western North America was also referred to as A. franchetii, but was long suspected of being a separate, undescribed species, and in 2013 was formally described under the name Amanita augusta.
Amanita aspera and Amanita franchetii are synonyms.
There also exists a variety known as Amanita franchetii var. lactella that is entirely white except for the bright yellow universal veil remnants. It is found in the western Mediterranean region, associated with several species of oak (Quercus suber and Q. robur) and hornbeam (Carpinus betulus), and is also reported from Serbia."
